Date,AAPL,MSFT,TSLA,SPY
2024-01-02,150.0,380.0,220.0,420.0
2024-01-03,151.37,372.24,215.6,425.26
2024-01-04,151.05,377.6,219.83,429.79
2024-01-05,152.83,388.77,230.66,432.48
2024-01-08,157.04,380.74,238.08,436.0
2024-01-09,156.45,384.1,238.47,433.7
2024-01-10,155.85,380.45,233.09,430.25
2024-01-11,160.31,377.77,238.7,430.35
2024-01-12,162.54,374.5,241.88,429.73
2024-01-15,161.25,369.75,249.4,427.88
2024-01-16,162.86,370.13,254.85,431.01
2024-01-17,161.58,365.61,264.18,435.3
2024-01-18,160.31,367.21,259.22,435.8
2024-01-19,161.05,367.03,271.22,442.46
2024-01-22,155.76,365.81,272.97,437.51
2024-01-23,151.14,360.93,293.21,436.78
2024-01-24,149.69,357.9,286.17,433.75
2024-01-25,147.09,362.11,303.79,425.78
2024-01-26,147.95,364.97,305.76,425.54
2024-01-29,145.65,359.71,298.81,425.13
2024-01-30,142.11,360.36,293.73,431.78
2024-01-31,145.88,364.58,290.37,434.65
2024-02-01,145.35,355.59,294.55,430.3
2024-02-02,145.57,358.63,299.81,438.53
2024-02-05,142.0,355.15,293.8,444.08
2024-02-06,140.69,358.33,293.43,446.81
2024-02-07,141.01,354.32,315.91,445.91
2024-02-08,138.22,344.88,335.26,441.74
2024-02-09,139.18,336.59,340.23,440.2
2024-02-12,137.76,336.93,340.54,445.18
2024-02-13,137.1,338.35,341.83,453.84
2024-02-14,135.69,333.85,349.03,461.08
2024-02-15,140.25,337.19,336.74,458.93
2024-02-16,140.26,328.91,333.62,453.9
2024-02-19,137.71,328.68,314.75,454.67
2024-02-20,139.77,322.81,319.01,446.76
2024-02-21,136.83,319.73,326.11,448.33
2024-02-22,137.38,320.05,320.57,447.79
2024-02-23,132.76,316.0,338.4,445.81
2024-02-26,129.72,314.26,324.2,438.82
2024-02-27,130.22,319.17,308.04,441.21
2024-02-28,131.97,316.49,310.32,438.96
2024-02-29,132.41,320.6,321.65,433.93
2024-03-01,132.18,315.26,340.84,421.67
2024-03-04,131.52,317.89,335.33,421.66
2024-03-05,128.18,324.98,347.96,429.37
2024-03-06,126.6,313.15,347.35,436.74
2024-03-07,125.62,309.49,345.14,434.85
2024-03-08,128.02,312.29,355.73,432.33
2024-03-11,128.84,311.42,363.72,434.5
2024-03-12,124.94,313.26,344.25,430.26
2024-03-13,125.69,310.5,362.17,431.69
2024-03-14,124.88,310.99,379.75,435.15
2024-03-15,123.44,310.35,371.46,440.68
2024-03-18,124.82,315.97,376.44,440.35
2024-03-19,127.15,317.28,382.79,439.57
2024-03-20,129.3,318.99,386.1,435.81
2024-03-21,127.44,317.1,378.66,432.31
2024-03-22,126.79,314.86,369.8,431.44
2024-03-25,127.57,312.89,369.33,433.16
2024-03-26,129.83,314.86,384.49,437.28
2024-03-27,128.78,312.95,391.64,433.87
2024-03-28,128.4,314.41,386.49,440.56
2024-03-29,125.95,324.52,396.8,439.48
2024-04-01,123.36,328.92,359.36,439.5
2024-04-02,125.19,327.39,373.81,436.32
2024-04-03,128.26,333.49,351.8,425.9
2024-04-04,128.14,331.53,347.27,429.83
2024-04-05,130.47,321.56,333.92,433.15
2024-04-08,131.34,316.79,319.15,432.04
2024-04-09,129.9,308.04,332.11,432.44
2024-04-10,130.77,306.49,326.64,434.81
2024-04-11,134.41,306.66,330.45,428.13
2024-04-12,134.37,314.63,329.78,425.97
2024-04-15,138.17,316.27,335.14,429.51
2024-04-16,131.98,315.32,335.9,424.23
2024-04-17,133.95,319.39,321.17,425.6
2024-04-18,134.19,308.97,332.31,419.93
2024-04-19,133.53,310.16,326.55,422.02
2024-04-22,133.79,313.89,309.28,421.98
2024-04-23,129.22,307.04,304.6,415.28
2024-04-24,128.76,312.48,320.73,420.29
2024-04-25,129.62,314.17,330.19,417.3
2024-04-26,133.09,312.29,326.09,414.02
2024-04-29,131.92,315.38,322.04,414.97
2024-04-30,130.09,326.49,318.34,419.91
2024-05-01,128.99,327.48,341.95,415.75
2024-05-02,131.13,328.81,346.37,416.12
2024-05-03,131.93,326.62,351.43,418.03
2024-05-06,130.75,322.55,364.05,421.07
2024-05-07,131.98,326.71,366.93,421.94
2024-05-08,132.25,322.6,363.51,420.49
2024-05-09,134.57,323.04,360.9,417.11
2024-05-10,132.96,320.81,359.86,417.58
2024-05-13,132.23,323.23,359.25,413.2
2024-05-14,131.36,324.96,368.27,401.32
2024-05-15,128.06,330.19,368.79,403.2
2024-05-16,128.77,327.75,378.12,407.0
2024-05-17,129.4,326.5,376.91,397.52
2024-05-20,129.46,321.8,377.79,393.6
2024-05-21,128.96,319.73,352.38,396.17
2024-05-22,125.82,321.65,363.6,404.58
2024-05-23,124.93,325.45,367.84,404.78
2024-05-24,124.22,321.03,380.63,401.92
2024-05-27,122.51,325.37,344.15,401.29
2024-05-28,122.21,332.2,369.82,407.0
2024-05-29,123.12,334.38,367.89,404.47
2024-05-30,127.33,344.1,382.14,401.33
2024-05-31,127.76,340.2,368.47,399.49
2024-06-03,128.38,333.95,376.22,395.77
2024-06-04,128.25,325.18,362.59,396.37
2024-06-05,124.03,332.71,354.7,403.02
2024-06-06,124.01,336.12,378.87,404.44
2024-06-07,124.18,335.93,376.22,403.52
2024-06-10,129.74,337.45,378.91,402.44
2024-06-11,129.34,331.85,390.35,396.26
2024-06-12,130.07,344.45,396.95,399.91
2024-06-13,130.03,345.22,398.87,399.7
2024-06-14,127.42,345.89,403.78,399.08
2024-06-17,130.06,349.8,438.67,412.24
2024-06-18,131.83,352.46,437.62,413.6
2024-06-19,133.73,353.75,440.5,410.58
2024-06-20,131.64,349.65,456.65,408.93
2024-06-21,134.98,352.25,474.29,413.8
2024-06-24,131.73,362.52,494.0,414.39
2024-06-25,133.14,370.07,504.85,408.53
2024-06-26,138.43,379.2,485.05,412.44
2024-06-27,136.08,376.39,513.09,409.79
2024-06-28,134.77,370.9,492.91,417.71
2024-07-01,135.05,370.3,497.91,422.39
2024-07-02,133.9,370.72,484.87,420.6
2024-07-03,130.33,377.01,483.6,426.18
2024-07-04,130.53,367.59,488.94,426.59
2024-07-05,128.15,376.29,494.22,430.39
2024-07-08,129.26,375.5,501.29,432.61
2024-07-09,127.22,373.19,529.91,429.05
2024-07-10,130.79,367.63,538.08,426.39
2024-07-11,129.04,358.65,533.34,430.95
2024-07-12,128.35,363.24,551.23,429.62
2024-07-15,130.24,363.75,574.19,427.99
2024-07-16,127.49,356.82,550.06,424.0
2024-07-17,128.04,350.0,561.34,425.93
2024-07-18,131.07,348.33,574.91,434.99
2024-07-19,127.45,357.33,568.79,430.45
2024-07-22,127.9,356.03,596.31,430.67
2024-07-23,128.53,348.13,592.98,436.96
2024-07-24,130.36,346.94,595.33,436.72
2024-07-25,127.59,345.61,591.53,438.84
2024-07-26,124.69,331.89,591.61,434.28
2024-07-29,125.88,331.71,569.34,436.27
2024-07-30,126.59,330.65,541.41,435.57
2024-07-31,127.19,334.24,571.93,440.03
2024-08-01,128.01,343.82,555.17,445.45
2024-08-02,126.52,349.82,536.21,457.35
2024-08-05,127.08,348.5,497.46,460.16
2024-08-06,127.78,342.82,486.37,461.79
2024-08-07,126.22,356.52,464.39,462.82
2024-08-08,130.49,356.94,491.38,461.3
2024-08-09,131.62,357.11,508.67,463.0
2024-08-12,128.93,357.08,496.49,461.75
2024-08-13,130.47,358.26,536.57,462.65
2024-08-14,128.29,357.58,554.91,468.96
2024-08-15,130.12,354.59,548.48,464.35
2024-08-16,132.85,351.77,502.78,469.85
2024-08-19,130.99,351.69,544.1,476.25
2024-08-20,133.27,348.91,518.31,475.81
2024-08-21,134.29,345.27,489.4,465.87
2024-08-22,136.3,345.93,506.84,463.15
2024-08-23,140.98,344.69,551.33,469.37
2024-08-26,140.41,352.72,578.18,469.38
2024-08-27,138.6,338.96,589.35,464.8
2024-08-28,136.49,344.69,601.38,462.57
2024-08-29,134.58,351.35,619.18,466.63
2024-08-30,134.44,340.6,635.42,469.33
